DFE.statistic,LK4-A04,LK3-D08,LK3-G02,LK2-F11,LK1-E09,LK4-E02,LK1-C09,LK2-A12,LK4-H11,LK4-A12,LK4-B12,LK4-D01,LK2-E07,LK2-B04,LK3-D09,LK1-D06,LK1-C11,LK2-A01,var,segregant_model_r2,segregant_model_p,segregant_model_r2_95_conf_low,segregant_model_r2_95_conf_high,segregant_model_p_values,segregant_model_params,segregant_model_coeffs,x_model_r2,x_model_p,x_model_r2_95_conf_low,x_model_r2_95_conf_high,x_model_p_values,x_model_params,x_model_coeffs,qtl_model_r2,qtl_model_p,qtl_model_r2_95_conf_low,qtl_model_r2_95_conf_high,qtl_model_p_values,qtl_model_params,qtl_model_coeffs,resid_qtl_model_r2,resid_qtl_model_p,resid_qtl_model_r2_95_conf_low,resid_qtl_model_r2_95_conf_high,resid_qtl_model_p_values,resid_qtl_model_params,resid_qtl_model_coeffs,resid_x_model_r2,resid_x_model_p,resid_x_model_r2_95_conf_low,resid_x_model_r2_95_conf_high,resid_x_model_p_values,resid_x_model_params,resid_x_model_coeffs,full_model_r2,full_model_p,full_model_r2_95_conf_low,full_model_r2_95_conf_high,full_model_p_values,full_model_params,full_model_coeffs,full_plus_seg_model_r2,full_plus_seg_model_p,full_plus_seg_model_r2_95_conf_low,full_plus_seg_model_r2_95_conf_high,full_plus_seg_model_p_values,full_plus_seg_model_params,full_plus_seg_model_coeffs,full_resid_seg_model_r2,full_resid_seg_model_p,full_resid_seg_model_r2_95_conf_low,full_resid_seg_model_r2_95_conf_high,full_resid_seg_model_p_values,full_resid_seg_model_params,full_resid_seg_model_coeffs,qtls,resid.qtls,full.model.qtls
background.fitness,0.036559047,0.023624539,-0.021250726,0.035349227000000004,0.00130607,-0.021837705,0.097834819,-0.029611706,-0.043349795,0.044940192,-0.022692414,0.011072576,0.021067245,0.068553692,-0.077437477,-0.060605349,0.03763259,-0.003379405,0.0019316022893680097,,,,,,,,1.0,1.3094872950465062e-271,1.0,1.0,1.2010281549168694e-06;1.3094872950464828e-271,x,-1.0842021724855044e-18;1.0,,,,,NA,NA,NA,,,,,NA,NA,NA,1.0,1.3094872950465062e-271,1.0,1.0,1.2010281549168694e-06;1.3094872950464828e-271,x,-1.0842021724855044e-18;1.0,1.0,1.3094872950465062e-271,1.0,1.0,1.2010281549168694e-06;1.3094872950464828e-271,x,-1.0842021724855044e-18;1.0,,,,,,,,,,,,,,,,,
mean,-0.0050148512682161575,-0.005416292572971404,-0.0037596055978873803,-0.0048652221232975915,-0.0025094702520025497,-0.003774137258382058,-0.003753591573795447,-0.0025828874672228865,-0.003060140689777096,-0.0031367638738876618,-0.0026336373876736175,-0.00370206429472223,-0.00362721719644382,-0.003689229260784588,-0.00268015747230911,-0.002676066014061291,-0.005131406811350213,-0.0049559578831828086,9.047768970080482e-07,,,,,,,,0.2506218231621773,0.03433978957996124,0.032742888330063946,0.6797846306548095,6.4954319917104966e-12;0.03433978957996125,x,-0.0036616289336984;-0.010834810951430187,,,,,NA,NA,NA,,,,,NA,NA,NA,0.2506218231621773,0.03433978957996124,0.027418612098066838,0.6786388578018608,6.4954319917104966e-12;0.03433978957996125,x,-0.0036616289336984;-0.010834810951430187,0.2506218231621773,0.03433978957996124,0.027300213622668185,0.6651197680462526,6.4954319917104966e-12;0.03433978957996125,x,-0.0036616289336984;-0.010834810951430187,,,,,,,,,,,,,,,,,
median,0.0010855465236300002,0.0001731952944695,0.0006017959428469999,0.000504387113963,0.000646422950358,0.000712552708063,0.0004394660657375001,0.00078680254145,0.000181797960432,0.000338786105155,0.0001436819872295,0.000545237162047,0.000190593697285,0.0004436986761,0.00020464928682150003,0.000639469464491,0.000676702565421,0.0006900734219889999,6.343187481343115e-08,,,,,,,,0.008134469872362216,0.7219116933460981,8.314055399125388e-05,0.3047485189842984,6.819102111066566e-07;0.7219116933460921,x,0.0004974624900308187;0.000516844079363295,,,,,NA,NA,NA,,,,,NA,NA,NA,0.008134469872362216,0.7219116933460981,8.479082645473925e-05,0.30787409001756794,6.819102111066566e-07;0.7219116933460921,x,0.0004974624900308187;0.000516844079363295,0.008134469872362216,0.7219116933460981,7.675088801299968e-05,0.3278901048595342,6.819102111066566e-07;0.7219116933460921,x,0.0004974624900308187;0.000516844079363295,,,,,,,,,,,,,,,,,
variance,0.0006083910420613096,0.00039902661349094167,0.00022648546679453863,0.0003006932166230518,0.00014825761011423604,0.0004389379120238197,0.000319408517467617,0.00017101385038608793,0.00027763149293166014,0.00021148051882257675,0.0002628970930758633,0.00024261913934953578,0.00024207620676310103,0.00022404308325640323,0.00023544031468878705,0.0002028345014934362,0.0003678090690725898,0.00036682278657642443,1.1841237572559363e-08,,,,,,,,0.06836699396818113,0.2946106639374643,0.000294002987364217,0.3561456072455683,8.366753276952328e-09;0.29461066393746427,x,0.0002879205583769289;0.0006473854493006417,,,,,NA,NA,NA,,,,,NA,NA,NA,0.06836699396818113,0.2946106639374643,0.0003502492318702755,0.3636618772267178,8.366753276952328e-09;0.29461066393746427,x,0.0002879205583769289;0.0006473854493006417,0.06836699396818113,0.2946106639374643,0.0003130982343248573,0.3520977139975469,8.366753276952328e-09;0.29461066393746427,x,0.0002879205583769289;0.0006473854493006417,,,,,,,,,,,,,,,,,
skew,-4.960424266148724,-3.772832029141854,-3.236788345122518,-3.0880248830686328,-5.111774344975222,-5.827919763576702,-4.911627656662463,-4.958467691280922,-5.079234688467615,-5.1870774842701675,-6.502331946917839,-4.276488360366938,-4.213557632846081,-4.306430756127945,-4.337397006456254,-3.611695214087479,-3.7606024106012508,-4.506461604354575,0.731815163117943,,,,,,,,0.005749139598482,0.7649201675089065,5.633505903956393e-05,0.3197327061948181,4.040741353031629e-13;0.7649201675089103,x,-4.544079904897714;1.475853580436564,,,,,NA,NA,NA,,,,,NA,NA,NA,0.005749139598482,0.7649201675089065,7.228543702472723e-05,0.3263162944063508,4.040741353031629e-13;0.7649201675089103,x,-4.544079904897714;1.475853580436564,0.005749139598482,0.7649201675089065,5.835415944010771e-05,0.3352673049491707,4.040741353031629e-13;0.7649201675089103,x,-4.544079904897714;1.475853580436564,,,,,,,,,,,,,,,,,
kurtosis,28.299205106772114,15.49617361150867,12.51097564597784,9.742885129359715,35.84776863058294,41.139505535390285,29.47240671374098,32.82272668237887,35.13769515671255,33.64307469264122,62.30807730532234,23.953376396327478,22.411778071718743,21.964105623698515,26.512328333986854,17.048850499044175,15.076091479651332,24.505232977536114,145.5647705995112,,,,,,,,0.039416146576913724,0.4296727783285329,0.00012165806377445469,0.3734989482594558,8.662875349325461e-08;0.42967277832853223,x,27.40117438987283;-54.501237891489865,,,,,NA,NA,NA,,,,,NA,NA,NA,0.039416146576913724,0.4296727783285329,0.00011912076156405661,0.3731288773242184,8.662875349325461e-08;0.42967277832853223,x,27.40117438987283;-54.501237891489865,0.039416146576913724,0.4296727783285329,0.00015431980575192914,0.36960613326212444,8.662875349325461e-08;0.42967277832853223,x,27.40117438987283;-54.501237891489865,,,,,,,,,,,,,,,,,
significant.beneficial.mutations,12.0,8.0,5.0,3.0,4.0,9.0,10.0,21.0,8.0,11.0,27.0,15.0,9.0,8.0,40.0,22.0,13.0,4.0,84.42283950617285,,,,,,,,0.29790886184483456,0.019122661551923187,0.010580143151739838,0.6654072499174455,3.7036582584243332e-06;0.019122661551923242,x,13.342048548145755;-114.10714335590312,,,,,NA,NA,NA,,,,,NA,NA,NA,0.29790886184483456,0.019122661551923187,0.0103936039727267,0.6614792777061784,3.7036582584243332e-06;0.019122661551923242,x,13.342048548145755;-114.10714335590312,0.29790886184483456,0.019122661551923187,0.011531259875032927,0.6669234899882679,3.7036582584243332e-06;0.019122661551923242,x,13.342048548145755;-114.10714335590312,,,,,,,,,,,,,,,,,
significant.deleterious.mutations,42.0,19.0,7.0,11.0,16.0,34.0,42.0,43.0,11.0,31.0,30.0,35.0,27.0,35.0,42.0,39.0,35.0,18.0,136.97839506172838,,,,,,,,0.006770890384190098,0.7454871694188404,9.889134516582467e-05,0.4825436262939851,3.9867095853178134e-08;0.7454871694188403,x,28.603194737150595;21.912406321436777,,,,,NA,NA,NA,,,,,NA,NA,NA,0.006770890384190098,0.7454871694188404,8.338246789440784e-05,0.48714351632148933,3.9867095853178134e-08;0.7454871694188403,x,28.603194737150595;21.912406321436777,0.006770890384190098,0.7454871694188404,9.994297138589959e-05,0.48276454146429315,3.9867095853178134e-08;0.7454871694188403,x,28.603194737150595;21.912406321436777,,,,,,,,,,,,,,,,,
mean.sub.low,-0.007360170288415966,-0.007763114948079797,-0.005520298867175111,-0.007363263323150457,-0.0038384954135440965,-0.00570429073811033,-0.005141131513821828,-0.0036299140512705066,-0.004683490325803099,-0.00445023940957583,-0.004040243744781265,-0.00509310627127973,-0.0051955309741656365,-0.005096519644138126,-0.003927869192922004,-0.0038993675775736026,-0.00726856490099605,-0.007340935004731112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean.sub.high,-0.002741182444432277,-0.003096945048312206,-0.0019863820647202817,-0.0023413434634900823,-0.0011436530561420922,-0.001847534524464459,-0.0023344795017422376,-0.0015444076141667028,-0.0014203771625022276,-0.0018207359767484835,-0.0012308197498575976,-0.0023051531986044817,-0.0020764855470894942,-0.0022061463491431367,-0.001429467436274412,-0.0014451749805188536,-0.003023616295710303,-0.0025648560846357536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
median.sub.low,0.0005816753823705001,-0.000236449937036,5.16733294041e-05,-0.00011842938963959999,-0.00010462257376335,0.0004619943952395,0.000123678562286,0.0005295563729350001,-0.000333759851621,0.00016173368203,-0.000218313039634,0.00031514270171,-0.00017249690137800005,0.0002411546269095,-1.3252149460659999e-05,0.0003763215518295,0.00046910581352,0.000296441149531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
median.sub.high,0.00141137195553175,0.000620449138842,0.0008140886791250001,0.000891140827926,0.001039506596965,0.0010579132792292473,0.0007486458231130001,0.000964466183302,0.0005907868720095,0.000604144290934,0.000491679485445,0.0008405187868360001,0.0005232116305265,0.0006544722310229999,0.0004957498689950001,0.0008430599170175001,0.0009091060224215,0.000931472583126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variance.sub.low,0.0002885537273477876,0.00020297848439558919,0.0001261183569884713,0.00014429117415374742,5.781178238753235e-05,0.00016471082371660194,0.00017835156954008804,9.12135481008874e-05,0.00012020180404155615,9.909705594522822e-05,0.00010169466102154953,0.00013456742849420758,0.00012585115269437373,0.000120667303448923,0.00013280311057733244,0.0001252890731271879,0.0001966916138692204,0.0001417258489393952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variance.sub.high,0.0009171134674798251,0.0005845345630935354,0.0003231511313085066,0.00044657278048284524,0.00023582057466806517,0.0007036412426251453,0.0004594226288347588,0.0002484373294781598,0.00043489894323805344,0.0003210062135748573,0.0004203139602928395,0.00034778966111512585,0.00035487672728342793,0.0003246793533686684,0.0003332257013616475,0.00027729401750928155,0.0005309132697342893,0.00058223331270441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skew.sub.low,-6.112078718074943,-4.763989119946713,-4.189220054685745,-4.0199506427715175,-6.247871022597111,-7.041953537629352,-5.924151259911829,-6.2126360415271495,-6.338422475071832,-6.40356357433977,-8.247392240579194,-5.292087640773388,-5.345337652063124,-5.43299162914367,-5.1063663852316745,-4.324008784561716,-4.709823040137057,-5.871843758906301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skew.sub.high,-3.992378041116126,-3.0217273038760104,-2.4367788035080533,-2.416707639797784,-2.4884303447911225,-3.655129370853605,-3.804283109403059,-3.4189839004329565,-2.781757394943625,-3.729826547448061,-2.621084494527107,-2.9651313583287955,-3.06310920928287,-3.309709366181161,-2.87362383767056,-2.8191269042790936,-3.075269333696869,-3.067976573337625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kurtosis.sub.low,17.592633595778445,9.096529442563547,5.838555520220491,5.250833605952831,6.524780981697154,17.64855516926593,16.289023697180326,13.906334309862434,11.61136681326913,17.359451934488973,12.844321251444576,9.59881215826185,10.65537071611429,11.512056333690655,14.690515743070137,11.178486227327893,9.401664185033233,9.716549621704647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kurtosis.sub.high,45.6280360439329,26.59199855890893,22.058783973201262,18.091413165549515,51.03250058579025,64.67583105064452,44.121936546443166,51.93597054749386,55.093557121418904,53.76980099067277,92.56831338563272,37.86016564040351,36.90029652441436,35.92555612108561,37.3708164780567,25.013717948065104,24.54417374473414,41.15588580658905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
